No.,EFA.ID,Date,lon,lat,Pb,O,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb
47,XPAH58,2/3/2025,-118.0972247,34.17717864,0.0105,33.312,0,0.797,5.539,1.487,0.812,1.103,53.223,0.836,0.086,2.263,0.0142,0.0423,0.172,0,0,0.0052,0.057,0.0048,0.0112,0.0024
48,XPAH56,2/2/2025,-118.1025213,34.19451106,0.0142,42.944,1.846,6.281,23.295,0.102,0.107,7.135,6.952,1.019,0.182,9.712,0.0066,0.0081,0.0354,0.005,0.0026,0.022,0.062,0.0105,0.128,0.0031
49,XPAH51,2/2/2025,-118.096501,34.18070962,0.0068,43.669,1.524,6.663,24.533,0.099,0.087,7.345,4.547,1.239,0.169,9.828,0.0051,0.0072,0.025,0.0048,0.0015,0.019,0.069,0.0104,0.055,0.004
50,1680,2/2/2025,-118.0963339,34.17813794,0.0082,45.219,1.348,8.122,26.6,0.028,0.092,6.341,3.252,0.99,0.106,7.462,0.0035,0.0045,0.0223,0.0052,0.0011,0.0164,0.101,0.0058,0.0397,0.0025
51,1682,2/2/2025,-118.1018422,34.19546044,0.0105,43.547,1.862,7.297,23.407,0.111,0.186,6.386,5.61,1.028,0.206,9.971,0.0046,0.0135,0.0289,0.0048,0.0013,0.0204,0.079,0.009,0.068,0.0027
52,1679,2/2/2025,-118.1025421,34.19451841,0.0113,44.874,1.437,7.868,26.059,0.094,0.232,6.968,4.871,0.788,0.136,6.395,0.0034,0.0059,0.017,0.0042,0.0016,0.0218,0.0458,0.0048,0.0252,0.0017
53,1696,2/2/2025,-118.0977241,34.1836571,0.0066,44.204,1.628,7.623,25.384,0.0367,0.052,8.001,3.437,0.84,0.117,8.335,0.0047,0.0062,0.0208,0.0043,0.0015,0.0311,0.0452,0.0057,0.065,0.0031
54,1694,2/2/2025,-118.104368,34.19344448,0.0094,43.138,2.187,6.747,23.192,0.111,0.294,7.503,6.826,0.83,0.191,8.533,0.0039,0.0121,0.0303,0.0056,0.0016,0.0235,0.114,0.0051,0.05,0.0022
55,1685,2/2/2025,-118.0965073,34.1807103,0.0048,44.656,1.415,7.258,26.229,0.073,0.0493,7.046,3.6,0.886,0.131,8.337,0.0059,0.0064,0.0175,0.004,0.0021,0.0188,0.058,0.0069,0.056,0.0025
56,1689,2/2/2025,-118.1036198,34.19044347,0.0094,43.54,2.025,8.391,22.823,0.09,0.056,6.422,5.419,1.036,0.217,9.72,0.0066,0.0116,0.0288,0.0063,0.0018,0.0205,0.055,0.0051,0.0202,0.0033
57,1683,2/2/2025,-118.1020942,34.1868132,0.0085,45.748,1.209,8.018,27.965,0.09,0.0362,6.741,2.953,0.734,0.108,6.067,0.0036,0.0042,0.0126,0.004,0,0.0295,0.063,0.0049,0.0335,0.0025
58,1666,2/2/2025,-118.1021411,34.19676489,0.0074,46.069,1.335,7.636,28.466,0.0431,0.064,5.366,3.704,0.704,0.09,6.083,0.0022,0.0034,0.0086,0.0043,0,0.0144,0.127,0.0062,0.088,0.0021
