Environment,Media,System,Site,Site-Event-Code,Latitude,Longitude,Sample ID,MP Concentration,Concentration Units,Sample Volume (m3),Sample Collection Date,Discharge (cms)
River,Water,Santa Ana Delhi,SAD,SAD-SF-2,33.659855, -117.881293,SAD-SF-2-N_S,NA,NA,NA,1/28/21,10.10911438
River,Water,Santa Ana Delhi,SAD,SAD-SF-4,33.659855, -117.881293,SAD-SF-4-N-1,NA,NA,NA,3/10/21,7.36238022
River,Water,Santa Ana Delhi,SAD,SAD-SF-4,33.659855, -117.881293,SAD-SF-4-N-2,19424.24242,count/m3,1.65,3/10/21,7.36238022
River,Water,Santa Ana Delhi,SAD,SAD-SF-4,33.659855, -117.881293,SAD-SF-4-N-3,NA,NA,NA,3/10/21,7.36238022
River,Water,Santa Ana Delhi,SAD,SAD-SF-6,33.659855, -117.881293,SAD-SF-6-N-1,NA,NA,NA,3/28/22,9.231292122
River,Water,Santa Ana Delhi,SAD,SAD-SF-6,33.659855, -117.881293,SAD-SF-6-N-2,25228.3105,count/m3,4.38,3/28/22,9.231292122
River,Water,Santa Ana Delhi,SAD,SAD-SF-6,33.659855, -117.881293,SAD-SF-6-N-3,NA,NA,NA,3/28/22,9.231292122
River,Water,San Diego Creek,SDC,SDC-BF-1,33.655444,-117.845421,SDC-BF-1-N-1,NA,NA,NA,1/18/21,0.139035719
River,Water,San Diego Creek,SDC,SDC-BF-1,33.655444,-117.845421,SDC-BF-1-N-2,4.167758847,count/m3,38.15,1/18/21,0.139035719
River,Water,San Diego Creek,SDC,SDC-BF-1,33.655444,-117.845421,SDC-BF-1-N-3,NA,NA,NA,1/18/21,0.139035719
River,Water,San Diego Creek,SDC,SDC-BF-2,33.655444,-117.845421,SDC-BF-2-N-1,NA,NA,NA,2/13/21,0.188873369
River,Water,San Diego Creek,SDC,SDC-BF-2,33.655444,-117.845421,SDC-BF-2-N-2,4.628052243,count/m3,105.66,2/13/21,0.188873369
River,Water,San Diego Creek,SDC,SDC-BF-2,33.655444,-117.845421,SDC-BF-2-N-3,NA,NA,NA,2/13/21,0.188873369
River,Water,San Diego Creek,SDC,SDC-BF-3,33.655444,-117.845421,SDC-BF-3-N-1,NA,NA,NA,4/16/21,0.113267388
River,Water,San Diego Creek,SDC,SDC-BF-3,33.655444,-117.845421,SDC-BF-3-N-2,12.44813278,count/m3,38.56,4/16/21,0.113267388
River,Water,San Diego Creek,SDC,SDC-BF-3,33.655444,-117.845421,SDC-BF-3-N-3,NA,NA,NA,4/16/21,0.113267388
River,Water,San Diego Creek,SDC,SDC-BF-4,33.655444,-117.845421,SDC-BF-4-N-1,NA,NA,NA,2/21/22,0.197368424
River,Water,San Diego Creek,SDC,SDC-BF-4,33.655444,-117.845421,SDC-BF-4-N-2,3.563992652,count/m3,81.65,2/21/22,0.197368424
River,Water,San Diego Creek,SDC,SDC-BF-4,33.655444,-117.845421,SDC-BF-4-N-3,NA,NA,NA,2/21/22,0.197368424
River,Water,San Diego Creek,SDC,SDC-DF-1,33.655444,-117.845421,SDC-DF-1-N-1,NA,NA,NA,6/21/21,0.146114931
River,Water,San Diego Creek,SDC,SDC-DF-1,33.655444,-117.845421,SDC-DF-1-N-2,2.251172486,count/m3,95.95,6/21/21,0.146114931
River,Water,San Diego Creek,SDC,SDC-DF-1,33.655444,-117.845421,SDC-DF-1-N-3,NA,NA,NA,6/21/21,0.146114931
River,Water,San Diego Creek,SDC,SDC-DF-2,33.655444,-117.845421,SDC-DF-2-N-1,NA,NA,NA,7/19/21,0.086083215
River,Water,San Diego Creek,SDC,SDC-DF-2,33.655444,-117.845421,SDC-DF-2-N-2,4.575471698,count/m3,63.6,7/19/21,0.086083215
River,Water,San Diego Creek,SDC,SDC-DF-2,33.655444,-117.845421,SDC-DF-2-N-3,NA,NA,NA,7/19/21,0.086083215
River,Water,San Diego Creek,SDC,SDC-DF-3,33.655444,-117.845421,SDC-DF-3-N_S,5.213588967,count/m3,29.73,9/2/21,0.054934683
River,Water,San Diego Creek,SDC,SDC-SF-2,33.655444,-117.845421,SDC-SF-2-N-1,NA,NA,NA,1/29/21,16.70693973
River,Water,San Diego Creek,SDC,SDC-SF-2,33.655444,-117.845421,SDC-SF-2-N-2,3407.222222,count/m3,1.8,1/29/21,16.70693973
River,Water,San Diego Creek,SDC,SDC-SF-2,33.655444,-117.845421,SDC-SF-2-N-3,NA,NA,NA,1/29/21,16.70693973
River,Water,San Diego Creek,SDC,SDC-SF-2,33.655444,-117.845421,SDC-SF-2-N-4,NA,NA,NA,1/29/21,16.70693973
River,Water,San Diego Creek,SDC,SDC-SF-3,33.655444,-117.845421,SDC-SF-3-N-1,NA,NA,NA,3/3/21,14.75307729
River,Water,San Diego Creek,SDC,SDC-SF-3,33.655444,-117.845421,SDC-SF-3-N-2,1405.415162,count/m3,11.08,3/3/21,14.75307729
River,Water,San Diego Creek,SDC,SDC-SF-3,33.655444,-117.845421,SDC-SF-3-N-3,NA,NA,NA,3/3/21,14.75307729
River,Water,San Diego Creek,SDC,SDC-SF-3,33.655444,-117.845421,SDC-SF-3-N-4,NA,NA,NA,3/3/21,14.75307729
River,Water,San Diego Creek,SDC,SDC-SF-3,33.655444,-117.845421,SDC-SF-3-N_S,NA,NA,NA,3/3/21,14.75307729
River,Water,San Diego Creek,SDC,SDC-SF-4,33.655444,-117.845421,SDC-SF-4-N-1,NA,NA,NA,3/10/21,21.83228904
River,Water,San Diego Creek,SDC,SDC-SF-4,33.655444,-117.845421,SDC-SF-4-N-2,2632.829374,count/m3,4.63,3/10/21,21.83228904
River,Water,San Diego Creek,SDC,SDC-SF-4,33.655444,-117.845421,SDC-SF-4-N-3,NA,NA,NA,3/10/21,21.83228904
River,Water,San Diego Creek,SDC,SDC-SF-4,33.655444,-117.845421,SDC-SF-4-N-4,NA,NA,NA,3/10/21,21.83228904
River,Water,San Diego Creek,SDC,SDC-SF-5,33.655444,-117.845421,SDC-SF-5-N-1,NA,NA,NA,3/15/21,0.643641932
River,Water,San Diego Creek,SDC,SDC-SF-5,33.655444,-117.845421,SDC-SF-5-N-2,31.61189358,count/m3,6.39,3/15/21,0.643641932
River,Water,San Diego Creek,SDC,SDC-SF-5,33.655444,-117.845421,SDC-SF-5-N-3,NA,NA,NA,3/15/21,0.643641932
River,Water,San Diego Creek,SDC,SDC-SF-6,33.655444,-117.845421,SDC-SF-6-N-1,NA,NA,NA,3/28/22,16.48040495
River,Water,San Diego Creek,SDC,SDC-SF-6,33.655444,-117.845421,SDC-SF-6-N-2,1302.367942,count/m3,16.47,3/28/22,16.48040495
River,Water,San Diego Creek,SDC,SDC-SF-6,33.655444,-117.845421,SDC-SF-6-N-3,NA,NA,NA,3/28/22,16.48040495
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-2,33.650444,-117.869573,SUB-1-2-S1,7.95774,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-3,33.650196,-117.868073,SUB-1-3-S1,3.37487,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-4,33.648807,-117.868731,SUB-1-4-S1,2.04086,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-5,33.649724,-117.871620,SUB-1-5-S1,5.00413,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-6,33.648768,-117.872276,SUB-1-6-S1,3.68558,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin I/III,SUB-1-7,33.648966,-117.870440,SUB-1-7-S1,2.09584,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-1,33.646377,-117.884951,SUB-2-1-S1,2.8223,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-2,33.645834,-117.886355,SUB-2-2-S1,16.71763,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-3,33.646251,-117.886357,SUB-2-3-S1,18.8825,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-4,33.644638,-117.886906,SUB-2-4-S1,4.51018,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-5,33.645288,-117.888464,SUB-2-5-S1,2.9026,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Basin II,SUB-2-6,33.643454,-117.887943,SUB-2-6-S1,2.41901,count/m3,NA,10/6/21,NA
Estuary,Sediment,Newport Bay (Subtidal),Middle Newport Bay,SUB-3-3,33.631417,-117.886417,SUB-3-3-S1,2.52135,count/m3,NA,2/16/24,NA
